Schema / Feature;NoSQL DB Type;Database;Data Modeling Pattern;Abstraction;Flexibility;Suitability;Consistency;Integration;User usability;Expressiveness;Completeness;Correctness;Complexity;Understandability;Implementability;Density;Balance;Aesthetics;Efficiency;Conciseness;Structure;Denormalization;Data Ingestion;Embedding;Nesting;Order;Hierarchy;Aggregation;Connectivity;Stability;Simplicity;label;
socialNetwork v5;Document oriented;MongoDB;2;8;7;6;9;8;7;7;8;8;2;8;6;2;3;8;5;2;4;7;4;6;8;5;9;1;1;9;7;0;
USDA Nutrition;Document oriented;MongoDB;2;9;2;4;3;4;9;5;2;1;9;1;5;7;6;6;7;2;2;7;3;1;5;2;1;9;5;7;8;1;
Yelp Challenge dataset;Document oriented;MongoDB;2;3;3;7;7;8;5;4;8;5;1;9;8;8;4;3;4;6;6;6;7;2;7;3;9;2;7;1;5;1;
Legis-Graph;Graph oriented;Neo4j;3;2;2;4;3;8;6;9;3;4;7;3;4;4;8;3;8;7;2;6;9;5;3;2;9;9;7;1;5;1;
movies;Graph oriented;Neo4j;3;6;3;8;1;2;7;3;6;2;1;9;7;9;2;5;6;6;9;1;2;4;1;1;7;1;6;6;4;1;
Network_and_IT;Graph oriented;Neo4j;3;9;7;5;9;5;9;6;6;1;8;2;3;8;2;6;7;7;5;1;9;6;5;7;7;9;7;3;9;0;
NICAR;Graph oriented;Neo4j;3;5;2;7;2;7;6;5;7;7;1;9;9;7;4;2;8;3;4;4;6;2;1;7;5;8;6;3;4;1;
Northwind;Graph oriented;Neo4j;3;9;2;9;7;1;8;7;7;6;2;8;9;7;8;1;9;4;7;3;3;4;1;3;4;1;4;6;3;1;
panama_papers;Graph oriented;Neo4j;3;3;2;8;2;7;1;7;2;5;5;5;8;7;2;4;7;9;8;7;8;9;8;2;3;1;9;5;6;1;
paradise_papers;Graph oriented;Neo4j;3;3;1;9;7;7;9;7;2;4;9;1;7;2;9;4;1;4;6;7;6;7;4;4;7;2;8;8;7;1;
recommendations;Graph oriented;Neo4j;3;2;9;1;4;4;8;8;8;6;9;1;3;6;2;8;3;5;7;2;9;4;7;2;9;1;9;4;6;0;
Russian_Twitter_Trolls;Graph oriented;Neo4j;3;5;4;3;7;8;5;7;4;6;2;8;4;1;9;8;2;4;2;6;4;2;9;6;2;6;1;8;6;1;
Trump_World;Graph oriented;Neo4j;3;4;5;5;7;6;2;9;1;7;8;2;2;7;2;5;3;1;7;9;4;1;6;3;9;1;9;7;9;1;
DynamoDB examples;Key-Value;DynamoDB;4;5;9;1;8;1;1;5;2;2;6;4;6;1;1;4;5;7;1;9;8;3;1;5;8;1;2;2;9;1;
Messaging;Key-Value;DynamoDB;4;9;9;9;5;9;7;9;9;8;4;6;9;6;7;3;4;2;7;9;5;5;4;3;1;1;6;7;6;1;
Music and Movies;Key-Value;DynamoDB;4;5;4;6;1;7;4;1;4;5;8;2;8;8;9;8;4;6;5;9;8;2;1;6;4;8;9;8;1;1;
Social Network;Key-Value;DynamoDB;4;8;6;8;5;7;3;1;9;1;1;9;1;2;3;5;1;9;9;7;4;9;1;2;4;2;1;6;3;1;
Voting;Key-Value;DynamoDB;4;4;5;4;2;7;5;9;4;8;4;6;1;7;5;5;1;4;4;5;9;6;2;7;8;8;7;8;7;1;
OReilly;Column-family;Cassandra;1;6;7;8;7;8;8;8;7;7;2;8;8;5;8;8;8;7;6;4;7;5;7;5;5;8;8;7;7;0;
videodb;Column-family;Cassandra;1;7;7;8;7;7;7;8;7;7;2;8;7;5;6;7;6;7;6;4;7;5;7;4;5;8;8;7;6;0;
beer;Document oriented;Couchbase;2;7;7;8;7;7;8;8;8;7;3;7;9;8;5;7;8;5;8;0;7;0;5;0;0;8;10;7;4;0;
games;Document oriented;Couchbase;2;8;8;8;7;7;9;10;6;7;2;8;8;6;5;8;7;6;7;0;8;0;0;0;0;6;4;6;8;0;
travel;Document oriented;Couchbase;2;7;5;8;7;8;8;7;10;5;4;6;7;4;8;8;6;4;8;4;6;2;3;0;3;8;8;8;3;0;
bpost Address Formatting Webservice;Document oriented;JSON;2;6;4;4;6;6;6;3;8;6;7;3;5;9;4;4;4;3;5;3;6;0;8;0;4;8;8;6;3;1;
bpost Address Validation Webservice;Document oriented;JSON;2;8;3;7;8;7;5;5;7;6;8;2;4;9;5;5;4;3;6;8;5;4;8;4;7;8;6;5;3;1;
Buzzfeed;Document oriented;MongoDB;2;8;8;10;10;10;10;10;10;10;1;9;8;7;8;10;8;8;10;0;8;0;0;3;3;3;8;9;7;0;
geoJSON;Document oriented;MongoDB;2;5;5;7;6;8;3;4;8;7;6;4;6;8;5;2;8;8;7;10;5;0;0;7;7;5;7;5;8;0;
geoSpatial;Document oriented;MongoDB;2;8;7;7;9;7;8;7;8;8;3;7;7;7;6;8;6;7;7;8;6;8;8;5;8;8;8;6;9;0;
Kansas City Fountains;Document oriented;MongoDB;2;5;7;8;8;8;9;7;10;8;4;6;7;7;5;7;6;4;8;10;7;10;10;3;3;8;9;7;4;0;
NOAA;Document oriented;MongoDB;2;6;6;5;4;5;6;4;8;6;8;2;6;8;5;7;4;7;7;0;4;0;0;0;0;3;7;6;9;1;
Northwind Oracle denormalized;Document oriented;MongoDB;2;7;5;8;7;7;8;9;7;7;4;6;6;7;5;8;5;7;8;10;7;8;8;5;6;8;9;6;5;0;
Northwind Oracle normalized;Document oriented;MongoDB;2;7;6;9;8;8;9;10;8;7;3;7;9;6;6;9;7;7;8;0;8;0;0;0;0;5;9;8;6;0;
ourAirports;Document oriented;MongoDB;2;5;4;5;5;5;3;3;7;4;8;2;4;8;5;3;4;3;5;0;5;0;0;0;0;4;9;4;5;1;
purchaseOrder;Document oriented;MongoDB;2;7;6;8;8;7;7;7;7;8;4;6;6;8;5;9;7;7;7;8;6;10;10;5;5;8;9;6;8;0;
sales v0.2;Document oriented;MongoDB;2;7;6;8;8;7;8;9;9;9;2;8;8;8;5;7;8;10;8;10;8;8;8;4;4;8;10;8;10;0;
socialNetwork v5;Document oriented;MongoDB;2;6;6;6;7;7;7;6;8;8;6;4;5;8;6;6;5;5;7;8;6;8;8;4;4;7;8;5;4;0;
USDA Nutrition;Document oriented;MongoDB;2;8;8;8;8;9;9;10;9;8;2;8;8;7;7;7;8;9;8;0;8;0;8;0;4;8;10;9;10;0;
Yelp Challenge dataset;Document oriented;MongoDB;2;7;5;6;7;7;7;7;10;7;6;4;8;9;5;8;8;6;8;3;6;0;0;0;5;5;8;8;3;0;
Legis-Graph;Graph oriented;Neo4j;3;6;8;8;7;7;7;9;8;7;2;8;7;5;7;8;7;8;7;4;7;0;7;3;8;7;10;7;8;0;
movies;Graph oriented;Neo4j;3;7;6;8;6;6;7;8;6;6;4;6;7;8;6;7;6;9;7;6;6;4;3;0;0;7;10;5;10;0;
Network_and_IT;Graph oriented;Neo4j;3;8;7;7;6;7;7;8;8;7;7;3;7;8;8;7;7;6;6;5;6;8;6;0;7;8;10;6;5;0;
NICAR;Graph oriented;Neo4j;3;7;7;8;6;6;7;8;7;7;4;6;6;7;7;7;6;5;6;4;5;0;8;0;0;8;10;5;4;1;
Northwind;Graph oriented;Neo4j;3;8;6;5;4;6;6;8;6;5;2;8;8;3;4;6;4;7;6;0;7;0;5;0;0;7;6;6;8;1;
panama_papers;Graph oriented;Neo4j;3;9;4;7;5;6;6;4;8;6;8;2;6;8;8;4;4;8;6;7;6;6;8;3;6;7;10;4;4;0;
paradise_papers;Graph oriented;Neo4j;3;7;6;6;5;6;5;5;6;6;8;2;6;8;4;5;6;3;4;7;5;7;7;0;4;8;10;7;4;1;
recommendations;Graph oriented;Neo4j;3;7;7;8;7;7;8;9;8;7;0;10;8;5;7;8;8;8;8;0;8;0;8;0;5;8;10;8;8;0;
Russian_Twitter_Trolls;Graph oriented;Neo4j;3;7;8;8;7;8;8;8;8;7;3;7;8;4;6;8;8;7;7;5;6;8;8;5;4;8;10;8;7;0;
Trump_World;Graph oriented;Neo4j;3;7;5;7;6;6;6;4;8;8;8;2;6;8;5;4;4;5;5;7;6;6;7;0;0;8;10;5;4;1;
DynamoDB examples;Key-Value;DynamoDB;4;5;5;6;6;7;6;5;7;7;6;4;7;5;4;7;6;7;7;5;4;0;0;0;0;5;4;6;6;1;
Messaging;Key-Value;DynamoDB;4;7;7;8;8;7;7;8;8;7;2;8;7;4;7;8;7;8;8;0;7;5;0;0;1;7;8;7;8;0;
Music and Movies;Key-Value;DynamoDB;4;5;5;5;6;7;7;7;8;8;3;7;8;8;4;5;5;6;7;3;8;0;6;0;3;7;0;6;5;1;
Social Network;Key-Value;DynamoDB;4;6;7;7;6;6;7;7;7;6;4;6;7;6;7;6;6;7;7;0;5;0;0;0;0;6;8;5;8;1;
Voting;Key-Value;DynamoDB;4;6;6;5;5;5;3;3;2;5;7;3;7;8;7;7;5;8;6;0;7;0;0;0;0;0;0;8;8;1;
OReilly;Column-family;Cassandra;1;0;1;2;7;5;8;6;8;8;4;6;4;6;8;7;7;5;7;0;4;0;0;6;8;0;4;8;8;1;
videodb;Column-family;Cassandra;1;0;2;5;8;7;8;6;7;8;4;6;7;4;3;5;8;7;6;0;6;0;0;6;7;0;7;7;7;1;
beer;Document oriented;Couchbase;2;0;1;4;7;7;7;8;9;7;2;8;6;3;6;6;8;7;8;0;5;0;0;5;0;0;10;7;7;1;
games;Document oriented;Couchbase;2;4;6;7;6;8;6;8;7;7;8;2;8;4;8;8;6;8;2;0;6;0;4;6;0;0;4;6;6;1;
travel;Document oriented;Couchbase;2;0;3;5;7;8;8;9;9;9;6;4;0;8;6;7;4;7;4;7;4;0;0;6;0;0;7;7;7;1;
bpost Address Formatting Webservice;Document oriented;JSON;2;0;0;1;7;8;2;9;9;9;8;2;7;9;0;1;7;7;2;0;7;0;3;6;0;0;8;8;8;1;
bpost Address Validation Webservice;Document oriented;JSON;2;0;0;3;8;8;2;8;9;9;8;2;8;10;10;8;6;8;2;0;8;0;0;6;0;0;8;8;8;1;
Buzzfeed;Document oriented;MongoDB;2;7;6;6;7;8;8;8;9;8;7;3;4;8;8;7;8;8;7;7;8;0;2;7;0;0;9;8;8;0;
geoJSON;Document oriented;MongoDB;2;0;0;0;8;8;9;4;8;8;3;7;3;3;6;4;7;7;7;8;7;0;1;7;0;0;0;7;7;1;
geoSpatial;Document oriented;MongoDB;2;0;0;2;7;8;8;4;4;7;2;8;0;4;8;8;8;3;6;0;3;0;4;7;0;0;7;8;8;1;
Kansas City Fountains;Document oriented;MongoDB;2;0;0;0;8;8;9;7;8;8;4;6;2;2;4;6;8;8;6;0;0;0;3;6;7;0;7;8;8;1;
NOAA;Document oriented;MongoDB;2;4;3;4;7;7;8;8;9;8;3;7;2;3;7;4;8;8;6;0;4;0;4;6;7;0;6;6;6;1;
Northwind Oracle denormalized;Document oriented;MongoDB;2;2;2;3;7;8;4;6;7;8;9;1;7;8;8;7;8;7;8;0;3;0;1;7;3;6;7;5;5;1;
Northwind Oracle normalized;Document oriented;MongoDB;2;2;2;3;7;8;4;6;7;8;9;1;7;8;8;7;8;7;8;10;3;0;1;7;3;6;7;5;5;0;
ourAirports;Document oriented;MongoDB;2;3;3;4;6;7;7;8;9;9;7;3;9;8;8;8;7;8;7;6;6;0;3;2;4;5;4;7;7;0;
purchaseOrder;Document oriented;MongoDB;2;3;3;4;7;8;8;4;7;8;7;3;7;8;7;8;6;7;9;6;6;0;2;7;7;3;7;6;6;0;
sales documentation;Document oriented;MongoDB;2;3;3;4;7;8;8;4;9;9;6;4;6;8;8;7;6;7;9;6;6;0;0;6;6;0;9;8;8;0;
socialNetwork v5;Document oriented;MongoDB;2;2;2;3;6;7;7;6;7;6;7;3;7;8;6;7;6;8;4;4;6;0;4;3;5;0;3;5;5;1;
USDA Nutrition;Document oriented;MongoDB;2;7;7;8;8;9;9;7;8;9;0;10;9;0;7;5;6;8;2;7;7;0;6;4;6;0;0;8;8;0;
Yelp Challenge dataset;Document oriented;MongoDB;2;4;9;9;4;9;9;9;9;8;9;1;9;9;7;9;4;9;7;9;6;0;4;6;6;4;8;4;4;0;
Legis-Graph;Graph oriented;Neo4j;3;4;3;7;6;7;7;5;7;8;7;3;7;8;8;7;8;5;6;5;4;0;6;4;4;8;6;5;5;1;
movies;Graph oriented;Neo4j;3;8;8;8;6;5;4;2;2;2;2;8;7;2;8;8;7;8;8;0;0;0;0;7;6;7;6;8;8;0;
Network_and_IT;Graph oriented;Neo4j;3;7;8;7;4;7;5;5;7;7;2;8;7;8;9;8;7;5;5;3;2;0;2;7;4;3;8;6;6;0;
NICAR;Graph oriented;Neo4j;3;4;3;4;7;6;6;7;6;6;7;3;8;5;7;7;6;2;6;5;3;0;4;6;7;5;6;8;8;1;
Northwind;Graph oriented;Neo4j;3;4;5;5;6;8;7;4;8;8;8;2;4;6;6;5;7;7;8;4;4;0;3;7;6;4;8;7;7;0;
panama_papers;Graph oriented;Neo4j;3;3;2;4;5;5;5;6;7;7;7;3;3;4;2;6;5;6;7;4;5;0;4;6;5;6;7;4;4;1;
paradise_papers;Graph oriented;Neo4j;3;6;4;6;7;7;7;9;6;6;5;5;6;9;4;5;6;7;6;3;4;0;2;5;8;2;7;6;6;1;
recommendations;Graph oriented;Neo4j;3;7;6;7;5;6;6;8;7;7;3;7;8;7;9;4;4;6;7;6;3;0;4;4;6;4;8;7;7;0;
Russian_Twitter_Trolls;Graph oriented;Neo4j;3;5;9;5;3;7;4;7;8;8;4;6;7;8;7;2;2;5;5;5;4;0;3;2;4;1;6;8;8;1;
Trump_World;Graph oriented;Neo4j;3;2;2;3;4;5;6;6;7;7;6;4;7;6;2;4;5;7;8;7;6;0;7;5;6;4;6;8;8;1;
DynamoDB examples;Key-Value;DynamoDB;4;1;4;3;7;6;4;6;7;8;4;6;9;7;6;6;7;5;7;0;8;0;0;6;0;0;0;7;7;1;
Messaging;Key-Value;DynamoDB;4;1;5;4;8;7;7;5;8;7;3;7;8;4;3;5;6;8;6;0;7;0;0;7;0;0;0;8;8;1;
Music and Movies;Key-Value;DynamoDB;4;0;3;3;9;8;9;6;7;9;1;9;8;1;8;7;8;9;5;0;8;0;0;6;0;0;0;9;9;1;
Social Network;Key-Value;DynamoDB;4;2;3;5;6;7;8;8;7;7;2;8;8;9;5;7;7;7;4;0;9;0;0;6;0;0;0;7;7;1;
OReilly;Column-family;Cassandra;1;8;7;6;7;7;6;7;;;;;;8;8;6;6;8;8;6;7;1;7;7;7;7;7;7;7;0;
videodb;Column-family;Cassandra;1;9;8;7;6;8;6;7;;;;;;7;8;7;6;7;7;8;7;1;7;7;7;7;5;8;6;0;
beer;Document oriented;Couchbase;2;6;4;6;3;6;7;8;;;;;;7;8;7;6;7;7;9;7;6;7;5;7;6;7;7;7;0;
games;Document oriented;Couchbase;2;8;7;6;9;7;7;8;;;;;;7;8;9;6;7;6;7;7;6;7;7;5;6;7;7;8;0;
travel;Document oriented;Couchbase;2;9;8;8;8;6;4;8;;;;;;7;8;9;6;6;6;6;9;4;7;7;5;6;2;7;8;0;
bpost Address Formatting Webservice;Document oriented;JSON;2;4;4;4;3;6;7;8;;;;;;7;8;9;6;6;6;7;4;4;7;4;5;6;2;6;7;0;
bpost Address Validation Webservice;Document oriented;JSON;2;3;3;2;3;7;4;8;;;;;;5;8;9;6;6;6;6;7;4;7;4;5;6;1;6;7;1;
Buzzfeed;Document oriented;MongoDB;2;7;6;6;8;4;4;8;;;;;;5;8;9;6;6;6;7;7;4;7;4;5;6;3;6;6;0;
geoJSON;Document oriented;MongoDB;2;2;2;4;3;7;4;8;;;;;;5;8;9;6;6;6;5;7;4;7;4;5;6;7;6;6;1;
geoSpatial;Document oriented;MongoDB;2;6;6;7;7;6;4;8;;;;;;5;8;9;6;6;6;6;8;4;7;4;5;6;3;6;6;0;
Kansas City Fountains;Document oriented;MongoDB;2;8;6;6;7;7;7;8;;;;;;5;8;9;6;6;6;4;7;4;7;4;5;6;7;6;7;0;
NOAA;Document oriented;MongoDB;2;5;4;5;6;6;9;8;;;;;;5;8;9;6;6;6;7;7;4;7;4;5;6;8;6;8;0;
Northwind Oracle denormalized;Document oriented;MongoDB;2;10;9;9;10;7;9;8;;;;;;5;8;9;6;6;6;2;8;4;7;4;5;6;8;6;7;0;
Northwind Oracle normalized;Document oriented;MongoDB;2;9;8;8;9;5;7;8;;;;;;5;8;9;6;6;6;3;7;4;7;4;5;6;8;6;8;0;
ourAirports;Document oriented;MongoDB;2;10;9;10;10;7;7;8;;;;;;5;8;9;6;6;6;6;8;4;7;4;5;6;8;6;8;0;
purchaseOrder;Document oriented;MongoDB;2;7;7;5;6;5;5;8;;;;;;5;8;9;6;6;6;7;7;4;7;4;5;6;8;6;7;0;
sales v0.2;Document oriented;MongoDB;2;8;7;8;8;5;6;8;;;;;;5;8;9;6;6;6;6;8;4;7;4;5;6;8;6;8;0;
socialNetwork v5;Document oriented;MongoDB;2;9;9;9;8;5;6;8;;;;;;5;8;9;6;6;6;7;8;4;7;4;5;6;8;6;8;0;
USDA Nutrition;Document oriented;MongoDB;2;6;5;5;4;8;4;8;;;;;;5;8;9;6;6;6;6;8;4;7;4;5;6;8;6;7;0;
Yelp Challenge dataset;Document oriented;MongoDB;2;9;9;9;9;7;7;8;;;;;;5;8;9;6;6;6;7;9;4;7;4;5;6;8;6;8;0;
Legis-Graph;Graph oriented;Neo4j;3;8;7;8;7;7;1;8;;;;;;5;8;9;6;6;6;5;7;4;7;4;7;6;8;7;7;0;
movies;Graph oriented;Neo4j;3;9;8;8;8;7;2;7;;;;;;5;8;9;6;6;6;7;7;5;7;4;7;6;8;7;6;0;
Network_and_IT;Graph oriented;Neo4j;3;10;9;10;9;8;3;7;;;;;;5;8;9;6;6;6;5;3;5;7;4;7;6;8;7;9;0;
NICAR;Graph oriented;Neo4j;3;9;9;9;9;8;7;7;;;;;;5;8;9;6;5;6;5;7;5;7;4;6;6;8;4;9;0;
Northwind;Graph oriented;Neo4j;3;8;8;8;8;8;7;7;;;;;;5;8;9;6;5;7;5;3;5;7;7;6;7;8;4;9;0;
panama_papers;Graph oriented;Neo4j;3;10;6;6;9;7;6;7;;;;;;5;8;9;7;5;7;5;7;5;7;6;6;7;7;4;7;0;
paradise_papers;Graph oriented;Neo4j;3;9;7;7;9;7;4;7;;;;;;5;8;7;7;5;8;7;6;5;7;6;6;4;7;7;7;0;
recommendations;Graph oriented;Neo4j;3;9;9;9;9;9;7;7;;;;;;5;8;7;7;5;8;8;7;5;7;6;6;4;5;8;5;0;
Russian_Twitter_Trolls;Graph oriented;Neo4j;3;10;8;10;8;7;7;7;;;;;;5;8;7;8;5;8;8;6;5;7;6;6;4;7;3;7;0;
Trump_World;Graph oriented;Neo4j;3;10;10;8;10;9;7;7;;;;;;5;8;8;9;5;8;7;7;7;7;6;6;4;5;3;5;0;
DynamoDB examples;Key-Value;DynamoDB;4;7;7;7;7;7;3;7;;;;;;5;8;8;8;5;8;6;6;8;7;6;6;4;7;3;5;0;
Messaging;Key-Value;DynamoDB;4;8;7;8;8;9;3;7;;;;;;5;7;8;7;7;7;6;6;9;7;6;7;4;5;7;7;0;
Music and Movies;Key-Value;DynamoDB;4;5;7;5;5;7;2;7;;;;;;5;7;7;8;7;7;6;6;9;7;6;7;7;5;5;5;0;
Social Network;Key-Value;DynamoDB;4;9;7;8;7;9;7;7;;;;;;5;7;7;7;7;7;6;7;7;7;6;7;7;5;7;5;0;
Voting;Key-Value;DynamoDB;4;7;7;7;5;7;7;7;;;;;;5;5;5;5;5;5;8;7;9;7;7;7;7;7;5;7;0;
OReilly;Column-family;Cassandra;1;6;5;5;1;1;3;3;5;;;;;7;1;8;3;5;8;3;3;5;4;7;4;;5;10;6;1;
videodb;Column-family;Cassandra;1;5;3;3;1;1;1;1;2;;;;;6;5;4;3;5;5;3;4;4;5;5;4;;6;10;5;1;
beer;Document oriented;Couchbase;2;3;7;8;8;8;9;9;9;;;;;9;1;9;10;9;10;8;7;7;5;9;5;;8;10;8;0;
games;Document oriented;Couchbase;2;7;2;2;3;3;2;2;3;;;;;5;5;3;2;1;2;3;3;5;4;7;4;;5;10;6;1;
travel;Document oriented;Couchbase;2;6;6;6;7;7;5;5;6;;;;;7;3;8;5;3;6;4;4;8;6;8;8;;8;10;2;0;
bpost Address Formatting Webservice;Document oriented;JSON;2;3;3;2;8;8;8;8;9;;;;;5;8;9;10;9;8;8;6;7;4;9;5;;8;10;8;0;
bpost Address Validation Webservice;Document oriented;JSON;2;3;3;2;8;8;8;8;9;;;;;5;8;9;10;9;8;8;7;6;5;9;4;;8;10;8;0;
Buzzfeed;Document oriented;MongoDB;2;4;5;;4;;5;;5;;;;;3;6;8;5;5;7;7;6;7;8;7;8;;5;10;7;0;
geoJSON;Document oriented;MongoDB;2;3;2;;8;;2;;6;;;;;4;4;8;1;8;7;8;3;8;6;8;8;;8;10;2;0;
geoSpatial;Document oriented;MongoDB;2;6;5;;6;;5;;5;;;;;8;3;4;2;7;8;6;8;7;1;8;2;;6;10;8;0;
Kansas City Fountains;Document oriented;MongoDB;2;3;6;;7;;8;;8;;;;;8;4;8;3;6;8;8;5;8;2;9;2;;3;10;8;0;
NOAA;Document oriented;MongoDB;2;6;5;;6;;5;;5;;;;;8;3;4;2;7;8;6;8;7;1;8;2;;6;10;8;0;
Northwind Oracle denormalized;Document oriented;MongoDB;2;1;4;;8;;9;;9;;;;;2;4;8;8;10;9;9;4;9;6;7;4;;8;10;9;0;
Northwind Oracle normalized;Document oriented;MongoDB;2;1;4;;8;;9;;9;;;;;4;3;9;8;10;9;9;4;9;6;7;4;;8;10;9;0;
ourAirports;Document oriented;MongoDB;2;2;7;;8;;8;;8;;;;;8;7;8;6;7;7;8;5;7;3;8;3;;7;10;7;0;
purchaseOrder;Document oriented;MongoDB;2;3;6;;7;;8;;8;;;;;8;4;8;3;6;8;8;5;8;2;9;2;;3;10;8;0;
sales v0.2;Document oriented;MongoDB;2;2;7;;7;;8;;9;;;;;6;2;8;3;7;9;7;8;8;3;9;1;;7;10;9;0;
socialNetwork v5;Document oriented;MongoDB;2;8;2;;3;;0;;3;;;;;1;8;2;3;7;5;3;5;5;0;8;3;;7;10;0;1;
USDA Nutrition;Document oriented;MongoDB;2;3;2;;8;;2;;6;;;;;4;4;8;1;8;7;8;3;8;6;8;8;;8;10;2;0;
Yelp Challenge dataset;Document oriented;MongoDB;2;4;5;;4;;5;;5;;;;;3;6;8;5;5;7;7;6;7;8;7;8;;5;10;7;0;
Legis-Graph;Graph oriented;Neo4j;3;3;2;;8;;2;;6;;;;;4;4;8;1;8;7;8;3;8;6;8;8;;8;0;2;1;
movies;Graph oriented;Neo4j;3;6;5;;6;;5;;5;;;;;8;3;4;2;7;8;6;8;7;1;8;2;;6;0;8;1;
Network_and_IT;Graph oriented;Neo4j;3;3;6;;7;;8;;8;;;;;8;4;8;3;6;8;8;5;8;2;9;2;;3;0;8;0;
NICAR;Graph oriented;Neo4j;3;5;3;;6;;6;;5;;;;;4;7;4;4;3;2;4;8;1;7;8;3;;8;0;7;1;
Northwind;Graph oriented;Neo4j;3;8;7;;2;;0;;2;;;;;5;3;5;2;4;2;2;4;5;1;8;3;;3;0;0;1;
panama_papers;Graph oriented;Neo4j;3;5;6;;6;;7;;6;;;;;8;5;7;4;4;4;6;5;7;8;9;2;;5;0;7;1;
paradise_papers;Graph oriented;Neo4j;3;5;3;3;1;1;1;1;2;;;;;6;5;4;3;5;5;3;4;4;5;5;4;;6;0;5;1;
recommendations;Graph oriented;Neo4j;3;3;7;8;8;8;9;9;9;;;;;9;1;9;10;9;10;8;7;7;5;9;5;;8;0;8;0;
Russian_Twitter_Trolls;Graph oriented;Neo4j;3;7;2;2;3;3;2;2;3;;;;;5;5;3;2;1;2;3;3;5;4;7;4;;5;0;6;1;
Trump_World;Graph oriented;Neo4j;3;6;6;6;7;7;5;5;6;;;;;7;3;8;5;3;6;4;4;8;6;8;8;;8;0;2;1;
DynamoDB examples;Key-Value;DynamoDB;4;8;2;;3;;0;;3;;;;;2;8;2;3;7;5;3;5;5;0;8;3;;7;10;0;1;
Messaging;Key-Value;DynamoDB;4;5;3;;6;;6;;5;;;;;4;7;4;4;3;2;4;8;1;7;8;3;;8;10;7;1;
Music and Movies;Key-Value;DynamoDB;4;8;7;;2;;0;;2;;;;;5;3;5;2;4;2;2;4;5;1;8;3;;3;10;0;1;
Social Network;Key-Value;DynamoDB;4;5;6;;6;;7;;6;;;;;8;5;7;4;4;4;6;5;7;8;9;2;;5;10;7;0;
Voting;Key-Value;DynamoDB;4;8;2;;3;;0;;3;;;;;2;8;2;3;7;5;3;5;5;0;8;3;;7;10;0;1;
