Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
Possibility of duplicate Mongo ObjectId's being generated in two different collections?;ObjectIds are generated client-side in a manner similar to UUID but with some nicer properties for storage in a database such as roughly increasing order and encoding their creation time for free. The key thing for your use case is that they are designed to guarantee uniqueness to a high probability even if they are generated on different machines.;;;16
Storing time-series data, relational or non?;"Found very interesting the above answers.
Trying to add a couple more considerations here.";;;21
What is BSON and exactly how is it different from JSON?;Source: http://bsonspec.org/;Mehdi RaashMehdi Raash;            7,65111 gold badge2626 silver badges4040 bronze badges;60
What scalability problems have you encountered using a NoSQL data store? [closed];I've switched a small subproject from MySQL to CouchDB, to be able to handle the load. The result was amazing.;tux21btux21b;            80.3k1515 gold badges110110 silver badges100100 bronze badges;49
DynamoDB vs MongoDB NoSQL [closed];I recently migrated my MongoDB to DynamoDB, and wrote 3 blogs to share some experience and data about performance, cost.;Mason ZhangMason Zhang;            3,3392323 silver badges3434 bronze badges;74
How to empty a redis database?;Be careful here.;;;141
MongoDB: How to update multiple documents with a single command?;Starting in v3.3 You can use updateMany;user602525user602525;            3,02844 gold badges2121 silver badges3939 bronze badges;34
Is there any NoSQL data store that is ACID compliant?;"UPDATE (27 July 2012):
Link to Wikipedia article has been updated to reflect the version of the article that was current when this answer was posted.  Please note that the current Wikipedia article has been extensively revised!";CraigTPCraigTP;            42.3k88 gold badges7373 silver badges9999 bronze badges;40
What is NoSQL, how does it work, and what benefits does it provide? [closed];;Michael BorgwardtMichael Borgwardt;            333k7575 gold badges463463 silver badges702702 bronze badges;113
Eventual consistency in plain English;Eventual consistency:;Ezra HochEzra Hoch;            1,68411 gold badge1212 silver badges77 bronze badges;125
MongoDB/NoSQL: Keeping Document Change History;Why not a variation on Store changes within the document ?;Paul TaylorPaul Taylor;            15011 silver badge88 bronze badges;12
NoSql vs Relational database;The history seem to look like this:;I GIVE CRAP ANSWERSI GIVE CRAP ANSWERS;            18.4k22 gold badges4141 silver badges4747 bronze badges;99
When should I use a NoSQL database instead of a relational database? Is it okay to use both on the same site?;NoSQL solutions are usually meant to solve a problem that relational databases are either not well suited for, too expensive to use (like Oracle) or require you to implement something that breaks the relational nature of your db anyway.;AsafAsaf;            6,05611 gold badge2020 silver badges4444 bronze badges;81
NoSQL - MongoDB vs CouchDB [closed];"If you are coming from the MySQL world, MongoDB is going to ""feel"" a lot more natural to you because of its query-like language support.";;;123
Where does mongodb stand in the CAP theorem?;I agree with Luccas post. You can't just say that MongoDB is CP/AP/CA, because it actually is a trade-off between C, A and P, depending on both database/driver configuration and type of disaster: here's a visual recap, and below a more detailed explanation.;JoCaJoCa;            83588 silver badges1313 bronze badges;62
Is mongodb running?;I find:;;;49
Use cases for NoSQL [closed];Some great use-cases - for MongoDB anyway - are mentioned on the MongoDB site. The examples given are real-time analytics, Logging and Full Text search. These articles are all well worth a read http://www.mongodb.com/use-cases;robjmillsrobjmills;            18k1515 gold badges7272 silver badges119119 bronze badges;49
Difference between HBase and Hadoop/HDFS;Apache Hadoop project includes four key modules;Ravindra babuRavindra babu;            45k88 gold badges224224 silver badges206206 bronze badges;24
"What does ""Document-oriented"" vs. Key-Value mean when talking about MongoDB vs Cassandra?";Well, I've been investigating NoSQL myself the past month or so. I think it generally could be stated something like;;;23
Good reasons NOT to use a relational database?;Matt Sheppard's answer is great (mod up), but I would take account these factors when thinking about a spindle:;Tristan JuricekTristan Juricek;            1,7841616 silver badges1919 bronze badges;26
How do you track record relations in NoSQL?;The couchDB approach suggest to emit proper classes of stuff in map phase and summarize it in reduce.. So you could map all comments and emit 1 for the given user and later print out only ones. It would require however lots of disk storage to build persistent views of all trackable data in couchDB. btw they have also this wiki page about relationships: http://wiki.apache.org/couchdb/EntityRelationship.;user425720user425720;            3,55011 gold badge1919 silver badges2323 bronze badges;4
What is an SSTable?;;;;60
What is the recommended way to delete a large number of items from DynamoDB?;According to the DynamoDB documentation you could just delete the full table.;;;48
SQL (MySQL) vs NoSQL (CouchDB) [closed];Seems like only real solutions today revolve around scaling out or sharding. All modern databases (NoSQLs as well as NewSQLs) support horizontal scaling right out of the box, at the database layer, without the need for the application to have sharding code or something.;;;4
Querying DynamoDB by date;Updated Answer:;Mike BrantMike Brant;            68.2k99 gold badges9393 silver badges9797 bronze badges;41
What does Redis do when it runs out of memory?;From redis.conf, version 2.8;;;20
What's the best way of structuring data on firebase?;;;;50
Foreign keys in mongo?;You may be interested in using a ORM like Mongoid or MongoMapper.;NerianNerian;            15.3k1212 gold badges6565 silver badges9090 bronze badges;32
Non-Relational Database Design [closed];I think you have to consider that the non-relational DBMS differ a lot regarding their data model and therefore the conceptual data design will also differ a lot. In the thread Data Design in Non-Relational Databases of the NOSQL Google group the different paradigms are categorized like this:;nawrothnawroth;            4,33111 gold badge2222 silver badges2121 bronze badges;55
How Can I Browse/View The Values Stored in Redis [closed];If you prefer open-source desktop tools, also take a look on Redis Desktop Manager.;uglideuglide;            1,6611414 silver badges1919 bronze badges;76
Cassandra port usage - how are the ports used?;"For Apache Cassandra 2.0 you need to take into account the following TCP ports:
(See EC2 security group configuration and Apache Cassandra FAQ)";joscasjoscas;            7,03155 gold badges3737 silver badges5858 bronze badges;49
MongoDB dot (.) in key name;As mentioned in other answers MongoDB does not allow $ or . characters as map keys due to restrictions on field names. However, as mentioned in Dollar Sign Operator Escaping this restriction does not prevent you from inserting documents with such keys, it just prevents you from updating or querying them.;Steve EynonSteve Eynon;            4,53011 gold badge2626 silver badges4545 bronze badges;26
How does column-oriented NoSQL differ from document-oriented?;"In Cassandra, each row (addressed by a key) contains one or more ""columns"". Columns are themselves key-value pairs. The column names need not be predefined, i.e. the structure isn't fixed. Columns in a row are stored in sorted order according to their keys (names).";DNADNA;            40.8k1212 gold badges9999 silver badges139139 bronze badges;43
NoSql Crash Course/Tutorial [closed];Here is a decent slide show introducing MongoDB. I think some of the big differences is that most of the systems rely on Active Record or some similar database abstraction.;;;45
Delete all nodes and relationships in neo4j 1.8;"you are probably doing it correct, only the dashboard shows just the higher ID taken, and thus the number of ""active"" nodes, relationships, although there are none. it is just informative.";;;6
MongoDB with redis;Obviously there are far more differences than this, but for an extremely high overview:;;;25
How to Add a Column in DynamoDB;"Well, let's not get dragged away in the semantic discussion about the difference between ""fields"" and ""columns"". The word ""column"" does remind us of relational databases, which dynamodb is not. In essence that means that dynamodb does not have foreign keys.";;;11
Best data store for billions of rows;Contrary to popular belief, NoSQL is not about performance, or even scalability.  It's mainly about minimizing the so-called Object-Relational impedance mismatch, but is also about horizontal scalability vs. the more typical vertical scalability of an RDBMS.;;;17
SQL versus noSQL (speed);"The definition of noSQL systems is a very broad one -- a database that doesn't use SQL / is not a RDBMS.
Therefore, the answer to your question is, in short: ""it depends"".";CarstenCarsten;            17.1k33 gold badges4444 silver badges5252 bronze badges;61
Large scale data processing Hbase vs Cassandra [closed];Trying to determine which is best for you really depends on what you are going to use it for, they each have their advantages and without any more details it becomes more of a religious war. That post you referenced is also more than a year old and both have gone through many changes since then. Please also keep in mind I am not familiar with the more recent Cassandra developments.;cftarnascftarnas;            1,7351010 silver badges99 bronze badges;91
Differences between OT and CRDT;;;;
Can I do transactions and locks in CouchDB?;Expanding on MrKurt's answer. For lots of scenarios you don't need to have stock tickets redeemed in order.  Instead of selecting the first ticket, you can select randomly from the remaining tickets. Given a large number tickets and a large number of concurrent requests, you will get much reduced contention on those tickets, versus everyone trying to get the first ticket.;;;27
Transactions in NoSQL?;This is the closest answer I found which would apply to any NoSQL database. It's on a 2007 blog post from Adam Wiggins of Heroku.com:;;;18
Explain Merkle Trees for use in Eventual Consistency;;;;
Pros/cons of document-based databases vs. relational databases;Is there a need to normalize the data?;;;13
What type of NoSQL database is best suited to store hierarchical data?;What you possibly need is a document-oriented database like MongoDB or CouchDB.;Maxim GueivandovMaxim Gueivandov;            2,53511 gold badge1919 silver badges3333 bronze badges;18
When shouldn't you use a relational database? [closed];The relational database paradigm makes some assumptions about usage of data.;Bill KarwinBill Karwin;            484k8282 gold badges630630 silver badges780780 bronze badges;22
Query with match by multiple fields;;;;
Retrieving/Listing all key/value pairs in a Redis db;From the command line, you can also use the dump command, available since Redis 2.6.0;N.MartignoleN.Martignole;            54955 silver badges88 bronze badges;31
Why many refer to Cassandra as a Column oriented database?;"Yes, the ""column-oriented"" terminology is a bit confusing.";DNADNA;            40.8k1212 gold badges9999 silver badges139139 bronze badges;67
Update field in exact element array in MongoDB;Try update document in array using positional $,;;;2
How reliable is ElasticSearch as a primary datastore against factors like write loss, data availability;It is generally a good idea to design redundant data storage solutions. For example, it could be a fast and reliable approach to first just push everything as flat data to a static storage like s3 then have ES pull and index data from there. If you need more flexibility leveraging some ORM, you could have an RDS or Redshift layer in between. This way the data can always be rebuilt in ES.;;;12
Practical example for each type of database (real cases) [closed];"This question is almost impossible to answer because of the generality. I think you are looking for some sort of easy answer problem = solution. The problem is that each ""problem"" becomes more and more unique as it becomes a business.";;;5
MongoDB normalization, foreign key and joining;Above, @TomaaszStanczak states;;;25
Azure Table Vs MongoDB on Azure;I have used both.;;;35
How to find a substring in a field in Mongodb;"Just use the string ""Star Wars"" and $regex will do the rest";LuisCarlos RodriguezLuisCarlos Rodriguez;            54344 silver badges77 bronze badges;44
What's the difference between insert(), insertOne(), and insertMany() method?;All three of these also allow you to define a custom writeConcern and also create a collection if it doesn't exist.;;;12
NoSQL for mobile apps? [closed];"leveldb is the new kid on the block.
It's a key'/value store much like BigTable, but designed for embedded devices. Their license is New BSD, which is much better than the LGPL in Tokyo Cabinet.";;;16
Mongodb: Failed to connect to 127.0.0.1:27017, reason: errno:10061;When you typed in the mongod command, did you also give it a path? This is usually the issue. You don't have to bother with the conf file. simply type;UrasquirrelUrasquirrel;            1,22711 gold badge1515 silver badges3232 bronze badges;13
Why are document stores like Lucene / Solr not included in NoSQL conversations?;After doing more Google-searching, I think this document sums it up pretty well:;Jon DavisJon Davis;            6,31255 gold badges3939 silver badges5959 bronze badges;14
Firestore Getting documents id from collection;;;;49
What's The Best Practice In Designing A Cassandra Data Model? [closed];This was too long to add as a comment, so to clear up some misconceptions from the list-of-problems reply:;;;17
How to stop insertion of Duplicate documents in a mongodb collection;You should use a compound index on the set of fields that uniquely identify a document within your MongoDB collection. For example, if you decide that the combination of user, title and Bank are your unique key you would issue the following command:;John PetroneJohn Petrone;            25.6k55 gold badges5858 silver badges6767 bronze badges;51
3 fields composite primary key (unique item) in Dynamodb;I believe the first option offered by @georgeaf99 won't work, because if you do it that way, then CompanyCode has to be unique in the table. Therefore, there would only be one item allowed per company. I think the second solution is the only real way to do it.;JoeMjr2JoeMjr2;            3,29444 gold badges2828 silver badges5656 bronze badges;34
anybody tried neo4j vs titan - pros and cons [closed];Great to see you exploring graph databases. I will speak to the Neo4j part of your question:;Philip RathlePhilip Rathle;            1,5371212 silver badges99 bronze badges;16
MongoDB vs. Cassandra vs. MySQL for real-time advertising platform;Characteristics of MySQL:;Ryan TaylorRyan Taylor;            10.4k22 gold badges3636 silver badges3333 bronze badges;27
Switching from MySQL to Cassandra - Pros/Cons?;If you're a relational database developer (as I am), I'd suggest/point out:;;;19
Firebase data structure and url;;;;
Storing null vs not storing the key at all in MongoDB;Note that, since MongoDB doesnt use field name dictionary compression, field:null consumes disk space and RAM, while storing no key at all doesnt consume resources.;;;19
Is using a load balancer with ElasticSearch unnecessary?;You don't need a load balancer — ES is already providing that functionality. You'd just another component, which could misbehave and which would add an unnecessary network hop.;xeraaxeraa;            9,78333 gold badges3131 silver badges6363 bronze badges;20
Life without JOINs... understanding, and common practices;;;;21
How to get schema of mongoose database which defined in another model;To get the schema from a registered Mongoose model, you need to access the schema specifically:;;;28
How to get all rows in Azure table Storage in C#?;If you don't need all rows every time, it's more efficient to retrieve items on demand (lazily) by making use of yield:;AlissonAlisson;            7,84533 gold badges5252 silver badges7373 bronze badges;8
Command like SQL LIMIT in HBase;There is a filter called PageFilter. Its meant for this purpose.;;;13
Query condition missed key schema element : Validation Error;In another answer @smcstewart responded to this question. But he provides a link instead of commenting why this error occurs. I want to add a brief comment hoping it will save your time.;UlaUla;            2,26811 gold badge2020 silver badges2929 bronze badges;19
How do you query DynamoDB?;I think you need create your own secondary index, using another table.;Rodrigo RibeiroRodrigo Ribeiro;            37411 silver badge88 bronze badges;6
The Next-gen Databases [closed];I'm missing graph databases in the answers so far. A graph or network of objects is common in programming and can be useful in databases as well. It can handle semi-structured and interconnected information in an efficient way. Among the areas where graph databases have gained a lot of interest are semantic web and bioinformatics. RDF was mentioned, and it is in fact a language that represents a graph. Here's some pointers to what's happening in the graph database area:;nawrothnawroth;            4,33111 gold badge2222 silver badges2121 bronze badges;25
"Why NoSQL is better at ""scaling out"" than RDBMS?";"RDBMS have ACID ( http://en.wikipedia.org/wiki/ACID ) and supports transactions. Scaling ""out"" with RDBMS is harder to implement due to these concepts.";Martin SamsonMartin Samson;            3,8202020 silver badges2525 bronze badges;56
NoSQL best practices [closed];"""NoSQL"" should be more about building the datastore to follow your application requirements, not about building the app to follow a certain structure -- that's more like a traditional SQL approach.";;;7
Has anyone worked with Aerospike? How does it compare to MongoDB? [closed];Speed;Mani GandhamMani Gandham;            6,2174545 silver badges5656 bronze badges;56
How to sum the value of a key across all documents in a MongoDB collection;I'd personally perform a mapreduce on the collection :;;;18
Using S3 as a database vs. database (e.g. MongoDB);"Context: we use S3 for some ""database"" (lit. key/value structured storage).";thomasmichaelwallacethomasmichaelwallace;            6,89611 gold badge2424 silver badges3232 bronze badges;31
Equivalent of ERD for MongoDB?;You could just use a UML class diagram instead too.;;;3
Migrate mongodb database from localhost to remote servers;"Auto Sync between 2 Server
If your local host is available from outside you can use copydb in admin.

Migrate mongodb data one hardware to another hardware:";Manoj SahuManoj Sahu;            2,4581717 silver badges1818 bronze badges;13
How does Leveldb compare with Redis or Riak or Tokyo Tyrant? [closed];I find I disagree a bit with colum's criteria though the differences between leveldb and Redis he points out are spot on.;The Real BillThe Real Bill;            13.5k77 gold badges3535 silver badges3737 bronze badges;31
MongoDB nested array query;Use nested elemMatch to search nested levels within arrays.;dgorurdgorur;            1,50844 gold badges1414 silver badges2626 bronze badges;10
Modeling Tool for NOSQL Databases [closed];KDM is one solution you can think for NoSQL database Cassandra. This tool starts from conceptual modelling till physical modelling. May be you can have look at this. This is available to use free online.;Siva KarthikeyanSiva Karthikeyan;            54688 silver badges2525 bronze badges;2
Create Superuser in mongo;The role userAdminAnyDatabase gives the user the ability to create users and assign arbitrary roles to them. Because of this, that user has the power to do anything on the database, because he can give anybody any permission (including himself).;;;59
So... this NoSQL thing;I write this but as a dispute to Rex's answer.;;;14
Reasons for and against moving from SQL server to MongoDB [closed];cons;;;8
Join operation with NOSQL;;;;6
Namespaces in Redis?;If you are using Node, ioredis has transparent key prefixing, which works by having the client prepend a given string to each key in a command. It works in the same way that Ruby's redis-namespace does. This client-side approach still puts all your keys into the same database, but at least you add some structure, and you don't have to use multiple databases or servers.;;;4
What are the differences between a node, a cluster and a datacenter in a cassandra nosql database?;"A node is a single machine that runs Cassandra.  A collection of nodes holding similar data are grouped in what is known as a ""ring"" or cluster.";AaronAaron;            49.8k1111 gold badges110110 silver badges122122 bronze badges;28
Fast or Bulk Upsert in pymongo;MongoDB 2.6+ has support for bulk operations.  This includes bulk inserts, upserts, updates, etc.  The point of this is to reduce/eliminate delays from the round-trip latency of doing record-by-record operations ('document by document' to be correct).;Kevin J. RiceKevin J. Rice;            3,12222 gold badges2222 silver badges2323 bronze badges;32
Is there any nosql flat file database just as sqlite? [closed];BerkeleyDB is a widely-used embedded database that's been around forever (it originally derived from the database library included in BSD, hence the name) and has excellent performance characteristics for many use cases (and caching is a frequently-used one), but it does have some significant limitations.;;;8
Why isn't RDBMS Partition Tolerant in CAP Theorem and why is it Available?;It is very easy to misunderstand the CAP properties, hence I'm providing some illustrations to make it easier.;João MatosJoão Matos;            4,19344 gold badges2929 silver badges5959 bronze badges;31
Any detailed and specific reasons for Why MongoDB is much faster than SQL DBs?;"In general, MySQL and MongoDB are quite similar in ""durable"" write performance on a single machine. Simple key/value lookups are almost the same... if you want to use MySQL that way. Document support is, obviously, a big productivity benefit and a big win for performance.";;;5
What does 'soft-state' in BASE mean?;"I was taught in classes that ""Soft state"" means that the state of the system could change over time (even during times without input), because there may be changes going on due to ""eventual consistency"". That's why says ""soft"" state.";;;7
Scan with filter using HBase shell;More information can be found here. Note that multiple examples reside in the attached Filter Language.docx file.;dapedape;            56511 gold badge88 silver badges99 bronze badges;29
Sorted String Table (SSTable) or B+ Tree for a Database Index?;I think fractal trees, as used by Tokutek, are a better index for a database.  They offer real-world 20x to 80x improvements over b-trees.;WillWill;            70.9k3636 gold badges160160 silver badges234234 bronze badges;9
Is there something like Redis DB, but not limited with RAM size? [closed];Yes, SSDB(https://github.com/ideawu/ssdb), it has very similar APIs to Redis: http://www.ideawu.com/ssdb/docs/php/;;;22
Choosing MongoDb/CouchDb/RavenDb - performance and scalability advice [closed];I would recommend MongoDB. My requirements wasn't nearly as high as yours but it was reasonably close. Assuming you'll be using C#, I recommend the official MongoDB C# driver and the InsertBatch method with SafeMode turned on. It will literally write data as fast as your file system can handle. A few caveats:;Rahul RavindranRahul Ravindran;            9322 silver badges77 bronze badges;6
MySQL and NoSQL: Help me to choose the right one;EDIT: Your one-column indices are not enough. You would need to, at least, cover the three involved columns.;Victor NicolletVictor Nicollet;            23.8k44 gold badges5454 silver badges8888 bronze badges;25
What exactly is NoSQL?;From wikipedia:;Justin EthierJustin Ethier;            126k4949 gold badges221221 silver badges278278 bronze badges;21
What's the attraction of schemaless database systems?;The primary concern should be what do you need to do with your data. If you have a huge data set and are finding a traditional RDBMS to be a bottleneck then you may want to experiment with a schemaless or a a NOSQL solution.;;;7
Redis, CouchDB or Cassandra? [closed];Take a look at http://kkovacs.eu/cassandra-vs-mongodb-vs-couchdb-vs-redis He does a good job summing up why you would use one over the other.;;;32
MongoDB mongoose Deprecation Warning;or;;;18
Why HBase is a better choice than Cassandra with Hadoop?;We have to compare pros & cons both databases and take a guarded decision depending on business requirements.;Ravindra babuRavindra babu;            45k88 gold badges224224 silver badges206206 bronze badges;15
MongoDB: Terrible MapReduce Performance;Maybe I'm too late, but...;FrameGraceFrameGrace;            53544 silver badges44 bronze badges;29
Can relational database scale horizontally;I think the answer is, unequivocally, yes. You have to keep in mind that SQL is simply a data access language. There is absolutely no reason why it can't be extended across multiple computers and network partitions. Is it a challenging problem? Most certainly, and that's why software that does it is in its infancy.;;;26
How does Voldemort compare to Cassandra?;Some additional comments:;;;8
Querying internal array size in MongoDB;Now MongoDB (2.6 release) supports $size operation in aggregation.;anvarikanvarik;            6,14755 gold badges3838 silver badges5252 bronze badges;19
MongoDB vs. Redis vs. Cassandra for a fast-write, temporary row storage solution;I currently work for a very large ad network and we write to flat files :);;;22
Cassandra frozen keyword meaning;For a user-defined type, I have noticed that you can update frozen the set by adding or removing the set elements. For example, let's say we create a table as follows.;;;0
How to choose which type of NoSQL to use [closed];After searching around a bunch more, I found that the documentation for RavenDB (a document DB) has a very detailed (and seemingly unbiased) comparison of each of these options, how they work, and where they are most appropriate.  For anyone else interested, read Chapter 1 of this document: https://s3.amazonaws.com/daily-builds/RavenDBMythology-11.pdf;;;12
NoSql and Data-Warehouse;Ayende Rahien explain it well in his blog:;;;22
What are the pros and cons of DynamoDB with respect to other NoSQL databases?;Using MongoDB through an add-on for Heroku effectively turns MongoDB into a SaaS product as well.;;;5
MongoDB: match non-empty doc in array;"I'm not sure I quite understand your schema, but perhaps the most straight forward way would be to not have an ""empty"" value for score.user ?";Justin JenkinsJustin Jenkins;            25.3k55 gold badges6363 silver badges12841284 bronze badges;4
How to write denormalized data in Firebase;;;;9
Proper way to import json file to mongo;There is a parameter --jsonArray:;;;23
Real alternatives to Windows Azure PaaS (web role)? [closed];;;;
Comparison : Aerospike vs Cassandra [closed];If you need stable predictable performance with low latency and no hassle with maintanence, go with Aerospike. Want to play games, go Cassandra. I've bring Cassandra more than 4 years ago to my company with no regret, but today for the reasons above I choose Aerospike, which is open source and more available than a year ago and biult like a russian tank - with reason.;;;15
How to load 100 million records into MongoDB with Scala for performance testing?;I've had the same thing.  As far as I can tell, it comes down to the randomness of the index values.  Whenever a new document is inserted, it obviously also needs to update all the underlying indexes.  Because you're inserting random, as opposed to sequential, values into these indexes, you're constantly accessing the entire index to find where to place the new value.;;;6
Is MongoDB reliable? [closed];Consider this related question on MongoDB and CouchDB - Fit for Production?;p.campbellp.campbell;            94.1k6262 gold badges247247 silver badges317317 bronze badges;8
How to choose between Cassandra, Membase, Hadoop, MongoDB, RDBMS etc.? [closed];;;;
NoSQL and spatial data;"Currently, MongoDB uses geohashing with B-trees which will be slower than the R-trees of PostGIS (I can't give exact numbers, I'm afraid, but there is plenty of theoretical literature on the differences). However, in these slides, http://www.slideshare.net/nknize/rtree-spatial-indexing-with-mongodb-mongodc the author talks about adding R-trees to MongoDB and sharding on a geo key. You talk about desktop use, so geosharding may not be of interest, as sharding's benefits will be felt more on massive datasets.
Ultimately, it probably comes down more to what you want to do with your spatial data. Postgis has vastly more functions and support for topology, rasters, 3D, conversions between coordinate systems, so if this is what you are looking for, PostGIS would still be the best option. If you are interested in storing billions/trillions of spatial objects and just running basic find all points near/inside this point based on some criteria, then MongoDB is likely a very good choice.";;;6
Mongodb vs Postgres in Nodejs [closed];;;;
Scan HTable rows for specific column value using HBase shell;"Nishu,
here is solution I periodically use. It is actually much more powerful than you need right now but I think you will use it's power some day. Yes, it is for HBase shell.";Roman NikitchenkoRoman Nikitchenko;            12.3k77 gold badges6767 silver badges103103 bronze badges;28
Use more than one schema per collection on mongodb;I tried the selected answer but when querying on specific model object, it retrieves data of both schemas. So I think using discriminator yields better solution:;;;14
PHP-friendly NoSQL solutions [closed];CouchDB has PHPillow:;GordonGordon;            302k6969 gold badges516516 silver badges537537 bronze badges;15
Sorting on Multiple fields mongo DB;That is true but there are two layers of ordering you have here since you are sorting on a compound index.;;;1
Many to Many relationship in Firebase;;;;8
MongoDB database encryption;Great question!  With Big Data on the rise, securing data at rest is more important than ever!;benjamincarterbenjamincarter;            12711 silver badge77 bronze badges;11
What's the Cypher script to delete a node by ID?;"The cleanest sweep for a node with id ""x"" is";Saad KhanSaad Khan;            42144 silver badges22 bronze badges;31
How can I access Amazon DynamoDB via Python?;Another alternative is PynamoDB. PynamoDB provides an ORM like interface to DynamoDB and supports both Python 2 and Python 3. The entire DynamoDB API is supported by PynamoDB - including global and local secondary indexes, batch operations, binary attributes, queries, scans, etc.;;;26
MongoDB: How to represent a schema diagram in a thesis?;There is a tool doing diagrams for MongoDb, is called DbSchema. It discovers the schema by scanning data from db. I would also suggest trying two features from them :;;;2
How can I resize a mongodb capped collection without losing data?;You basically need to create a new capped collection and copy the docs to it. This can be done very easily in the javascript (shell), or your language of choice.;Scott HernandezScott Hernandez;            7,21222 gold badges3232 silver badges2525 bronze badges;45
How to update multiple items in a DynamoDB table at once;You can use TransactWriteItems action to update multiple records in DynamoDB table.;;;11
MongoDB + Elasticsearch or only Elasticsearch?;Well, choose the right tool for the right job. If you require searching capabilities such as full text search, faceting etc, then nothing can beat a full fledged search engine. ElasticSearch(ES) or Solr is just a matter of choice.;;;2
How to do basic aggregation with DynamoDB?;Dynamodb is pure key/value storage and does not support aggregation out of the box.;Traycho IvanovTraycho Ivanov;            2,07299 silver badges2222 bronze badges;3
How to search over huge non-text based data sets?;Use MongoDB for your metadata store:;;;4
Mongoose, CastError: Cast to Array failed for value when trying to save a model that contains a model;Explicitly defining the type rule on a property called type is allowed and won't throw an error. like this:;;;23
How to know which storage engine is used in mongodb?;"On the console, Mayank's answer makes more sense. 
On the other hand, by using MongoDB GUI like MongoChef or Robomongo storageEngine may be found by using the ways below;";efkanefkan;            11.9k55 gold badges6767 silver badges9898 bronze badges;11
NoSQL: Getting the latest values from tables DynamoDB/Azure Table Storage;In general, you probably just want to reverse the timestamp, so it decreases over time, leaving the newest row on top.;;;-1
Cassandra - transaction support;"In version 2.x you can combine CQL-statements in logged batch that is atomic. Either all or none of statements succeed. Also you can read about lightweight transactions. 
More than that - there are several persistence managers for Cassandra. You can achive foreign keys behavior on client level with them. For example, Achilles and Kundera.";;;6
Is an ORM redundant with a NoSQL API?;"I think an ""ORM"" on MongoDb can be useful, not only for ""serializing"" and ""deserializing"" objects into the db (Norm seems to do a great job) but also for making it more easy to execute aggregation queries.";;;2
Are there any REAL advantages to NoSQL over RDBMS for structured data on one machine?;Schema-less storage (or schema-free). Ability to modify the storage (basically add new fields to records) without having to modify the storage 'declared' schema. RDBMSs require the explicit declaration of said 'fields' and require explicit modifications to the schema before a new 'field' is saved. A schema-free storage engine allows for fast application changes, just modify the app code to save the extra fields, or rename the fields, or drop fields and be done.;;;2
